FIRM_ID,FIRM_NAME,SEARCH_TERM
106595,WELLINGTON MANAGEMENT COMPANY LLP,:801-15908
106609,ACADIAN ASSET MANAGEMENT,:801-28078
106614,"BLACKROCK ADVISORS, LLC",:801-47710
106616,SPARROW CAPITAL MANAGEMENT INC,:801-42906
106629,"PUTNAM INVESTMENT MANAGEMENT, LLC",:801-7974
106647,EDGEWOOD MANAGEMENT LLC,:801-9970
106654,THE LONDON COMPANY OF VIRGINIA,:801-46604
106682,IRON FINANCIAL LLC,:801-46417
106687,EII REALTY SECURITIES INC,:801-44099
106705,"W.E. DONOGHUE & CO., INC",:801-27959
106746,DISCIPLINED GROWTH INVESTORS INC,:801-53297
106750,"FRED ALGER MANAGEMENT, LLC",:801-6709
106753,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",:801-35905
106783,"NEEDHAM INVESTMENT MANAGEMENT, LLC",:801-50449
106793,"OAKTREE CAPITAL MANAGEMENT, L.P.",:801-48923
106800,"NATIXIS ADVISORS, L.P.",:801-48408
106810,MUNDER CAPITAL MANAGEMENT,:801-48394
106838,UBS ASSET MANAGEMENT (AMERICAS) INC.,:801-34910
106847,PZENA INVESTMENT MANAGEMENT LLC,:801-50838
106863,ARTIO GLOBAL MANAGEMENT LLC,:801-18766
106909,"WILMINGTON TRUST INVESTMENT ADVISORS, INC.",:801-50883
106924,DERBY AND COMPANY INC,:801-30056
106928,BRADLEY FOSTER & SARGENT INC,:801-46616
106951,HOWARD CAPITAL MANAGEMENT,:801-10188
106960,HARRIS ASSOCIATES LP,:801-50333
106962,PACIFIC GLOBAL INVESTMENT MANAGEMENT CO,:801-41668
106974,PENNANT MANAGEMENT INC,:801-49007
106982,"VIRTUS INVESTMENT ADVISERS, INC.",:801-5995
107010,KOPP INVESTMENT ADVISORS,:801-36574
107027,FIRST TRUST ADVISORS LP,:801-39950
107028,TOUCHSTONE ADVISORS INC,:801-45963
107033,FULLER & THALER ASSET MANAGEMENT INC,:801-43915
107038,J.P. MORGAN ASSET MANAGEMENT,:801-21011
107046,HOLLAND & CO LLC,:801-49394
107049,"LATEEF INVESTMENT MANAGEMENT, LP.",:801-9747
107058,CHECK CAPITAL MANAGEMENT INC,:801-29001
107063,ROANOKE ASSET MANAGEMENT CORP,:801-13857
107066,"OAK RIDGE INVESTMENTS, LLC",:801-35529
107149,INSTITUTIONAL CAPITAL LLC,:801-40779
107157,"TEACHERS ADVISORS, LLC",:801-46887
107158,GAMBLE JONES INVESTMENT COUNSEL,:801-36855
107160,PAYDEN & RYGEL,:801-19762
107173,RBC GLOBAL ASSET MANAGEMENT (U.S.) INC.,:801-20303
107175,BERKSHIRE CAPITAL HOLDINGS INC,:801-53149
107177,"MERITAGE PORTFOLIO MANAGEMENT, INC.",:801-39348
282308,MISAKI CAPITAL INC.,:801-107205
123793,"FINANCIAL PLANS & STRATEGIES, INC.",:801-107206
107213,"ENSEMBLE CAPITAL MANAGEMENT, LLC",:801-54850
107214,"WHV INVESTMENTS, INC.",:801-46131
107225,FBR FUND ADVISERS INC,:801-53320
107242,AMERISTOCK CORPORATION,:801-49716
107269,PPM AMERICA INC,:801-40783
107272,"GREAT-WEST CAPITAL MANAGEMENT, LLC",:801-52309
107275,PINNACLE ADVISORS LLC,:801-53493
107293,DENVER INVESTMENTS,:801-47933
107296,DUFF & PHELPS INVESTMENT MANAGEMENT CO.,:801-14813
107300,JANUS HENDERSON INVESTORS,:801-47202
107302,ABERDEEN ASSET MANAGEMENT INVESTMENT SERVICES LIMITED,:801-12880
107303,UPRIGHT FINANCIAL CORP,:801-38340
107310,"PEKIN HARDY STRAUSS, INC.",:801-35684
107312,"BRIGHTHOUSE INVESTMENT ADVISERS, LLC",:801-47459
107319,"TRANSAMERICA RETIREMENT ADVISORS, LLC",:801-42910
107325,300 NORTH CAPITAL,:801-47993
107338,"SUNAMERICA ASSET MANAGEMENT, LLC",:801-19813
107342,FISHER INVESTMENTS,:801-29362
107344,TRENT CAPITAL MANAGEMENT INC,:801-34570
107346,"VIRTUS FUND ADVISERS, LLC",:801-23163
107351,VOLUMETRIC ADVISERS,:801-23767
107376,"TRANSAMERICA ASSET MANAGEMENT, INC.",:801-53319
107382,ADELANTE CAPITAL MANAGEMENT LLC,:801-48599
107387,"HUDSON VALLEY INVESTMENT ADVISORS, INC.",:801-48913
107408,MATRIX ASSET ADVISORS INC,:801-36872
107420,FRONTEGRA ASSET MANAGEMENT INC,:801-52123
107432,MONDRIAN INVESTMENT PARTNERS LIMITED,:801-37702
107445,ALLIANCEBERNSTEIN CORPORATION,:801-39910
107469,"METROPOLITAN WEST CAPITAL MANAGEMENT, LLC",:801-57001
107472,DIMENSIONAL FUND ADVISORS LTD,:801-40136
107494,LGM INVESTMENTS,:801-40889
107517,SYM FINANCIAL ADVISORS,:801-23944
107528,OHIO NATIONAL INVESTMENTS INC,:801-51396
107545,THIRD AVENUE MANAGEMENT LLC,:801-27792
107560,M CAPITAL ADVISORS,:801-43315
107568,NAVELLIER & ASSOCIATES INC,:801-30582
107674,"JACOBS & COMPANY, LLC",:801-12012
107687,CALLAN,:801-9219
107689,ROYCE INVESTMENT PARTNERS,:801-8268
283580,FIREBOLT VENTURES,:802-107707
107711,"REYNOLDS CAPITAL MANAGEMENT, LLC",:801-23561
107715,GOLDMAN SACHS ASSET MANAGEMENT INTERNATIONAL,:801-38157
107719,"AMUNDI ASSET MANAGEMENT US, INC.",:801-8255
107738,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.",:801-37591
107808,"BOYD WATTERSON ASSET MANAGEMENT, LLC",:801-57468
107811,TFS CAPITAL LLC,:801-56947
283871,"BERNARD & JOHNSON, LLC",:801-107820
107831,IVY ASSET MANAGEMENT LLC,:801-45776
107852,CORNERCAP INVESTMENT COUNSEL INC,:801-36918
107853,ROOSEVELT INVESTMENTS,:801-38824
107855,"COLUMBIA PARTNERS, L.L.C. INVESTMENT MANAGEMENT",:801-50156
107866,HENSSLER FINANCIAL,:801-55444
107890,"LEAVELL INVESTMENT MANAGEMENT, INC.",:801-14752
107911,CRAMER ROSENTHAL MCGLYNN LLC,:801-55244
107923,TATTERSALL ADVISORY GROUP INC,:801-56667
107927,VIKING FUND MANAGEMENT LLC,:801-56605
107935,EMERALD ASSET ADVISORS LLC,:801-56946
107952,PARK PLACE CAPITAL CORPORATION,:801-32593
107971,AIS CAPITAL MANAGEMENT L.P.,:801-43295
107975,"BRINKER CAPITAL INVESTMENTS, LLC.",:801-57265
107980,AUXIER ASSET MANAGEMENT,:801-55757
107987,"FAIRHOLME CAPITAL MANAGEMENT, L.L.C.",:801-54831
108014,"NAKOMA CAPITAL MANAGEMENT, LLC",:801-57752
108028,BRIDGES INVESTMENT MANAGEMENT INC,:801-57056
126748,"CAPITAL ADVISORS, LLC",:801-108032
108042,BISHOP STREET CAPITAL MANAGEMENT,:801-57217
108045,HANSON & DOREMUS INVESTMENT MANAGEMENT,:801-55412
108049,ALLIANZ GLOBAL INVESTORS FUND MANAGEMENT LLC,:801-57798
108050,"VALMARK ADVISERS, INC.",:801-55564
108074,RIVERBRIDGE,:801-57432
108076,CARDINAL CAPITAL MANAGEMENT INC,:801-40703
108107,PERSIMMON CAPITAL MANAGEMENT LP,:801-56210
108143,WESTPORT ADVISERS LLC,:801-54967
108165,"GLENMEDE INVESTMENT MANAGEMENT, LP",:801-57826
108170,MARCO INVESTMENT MANAGEMENT LLC,:801-55605
108208,INVESTMENT RESEARCH CORP,:801-8599
